1,Sherwin-Williams,#B32230,Positive Red
2,Sherwin-Williams,#A23138,Poinsettia
3,Sherwin-Williams,#A73C41,Show Stopper
4,Sherwin-Williams,#AD262E,Heartthrob
5,Sherwin-Williams,#BB2F36,Gypsy Red
6,Sherwin-Williams,#B7343A,Lusty Red
7,Sherwin-Williams,#B52F2B,Cherry Tomato
8,Sherwin-Williams,#C6222F,Real Red
9,Sherwin-Williams,#CA3333,Stop
10,Sherwin-Williams,#C4443D,Ablaze
11,Sherwin-Williams,#B8403B,Red Obsession
12,Sherwin-Williams,#D73930,Fireworks
13,Sherwin-Williams,#B84E46,Habanero Chile
14,Sherwin-Williams,#B95340,Peppery
15,Sherwin-Williams,#B46066,Redbud
16,Sherwin-Williams,#9A4650,Kirsch Red
17,Sherwin-Williams,#8A3941,Luxurious Red
18,Sherwin-Williams,#814045,Wild Current
19,Sherwin-Williams,#913334,Red Bay
20,Sherwin-Williams,#744042,Red Theatre
21,Sherwin-Williams,#B64340,Red Tomato
22,Sherwin-Williams,#A93331,Tanager
23,Sherwin-Williams,#A34D4B,Antique Red
24,Sherwin-Williams,#93423E,Bolero
25,Sherwin-Williams,#A53830,Rave Red
26,Sherwin-Williams,#874340,Salute
27,Sherwin-Williams,#7B423F,Crabby Apple
28,Sherwin-Williams,#713F3E,Sundried Tomato
29,Sherwin-Williams,#664747,Sommelier
30,Sherwin-Williams,#652F2A,Rookwood Red
31,Sherwin-Williams,#7D362E,Fireweed
32,Sherwin-Williams,#9F7162,Reddened Earth
33,Sherwin-Williams,#895D50,Canyon Clay
34,Sherwin-Williams,#5E392F,Fiery Brown
35,Sherwin-Williams,#7F453C,Red Barn
36,Sherwin-Williams,#794742,Rustic Red
37,Sherwin-Williams,#863A2B,Fired Brick
38,Sherwin-Williams,#8C554E,Toile Red
39,Sherwin-Williams,#6F423D,Carriage Door
40,Sherwin-Williams,#5C3833,Arresting Auburn
41,Sherwin-Williams,#645051,Carnelian
42,Sherwin-Williams,#B64361,Gala Pink
43,Sherwin-Williams,#A02A4D,Cerise
44,Sherwin-Williams,#B1344F,Cherries Jubilee
45,Sherwin-Williams,#AB243F,Radish
46,Sherwin-Williams,#CE4965,Eros Pink
47,Sherwin-Williams,#AB354C,Valentine
48,Sherwin-Williams,#C2475C,Heartfelt
49,Sherwin-Williams,#D17079,Pink Flamingo
50,Sherwin-Williams,#E27787,Coming Up Roses
51,Sherwin-Williams,#D3384E,Feverish Pink
52,Sherwin-Williams,#E97384,Zany Pink
53,Sherwin-Williams,#8A4041,Stolen Kiss
54,Sherwin-Williams,#9B6D6E,Rose Brocade
55,Sherwin-Williams,#9E6165,Rambling Rose
